<Ticker>,<Per>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<VAL>,<COUNT>,<PREVIOUS>,<COL1>,<COL2>,<TIME>,<TSEClose>,<MarketValue>,<ShareCount>,,<OPENMarketValue>,<HIGHMarketValue>,<LOWMarketValue>,<CloseMarketValue>,<TseCloseMarketValue>,TradedOfTotalMarket
ABAD,d,20070807,0,829,830,829,830,18468,51750219,4,831,آباد,13860516,0,830,1.25E+11,150000000,,1.2435E+11,1.245E+11,1.2435E+11,1.245E+11,1.245E+11,5.799
ABAD,d,20070808,0,814,814,814,814,126354,347599854,25,830,آباد,13860517,0,814,1.22E+11,150000000,,1.221E+11,1.221E+11,1.221E+11,1.221E+11,1.221E+11,5.8
ABAD,d,20070812,0,814,814,814,814,50818,139749770,8,814,آباد,13860521,0,814,1.22E+11,150000000,,1.221E+11,1.221E+11,1.221E+11,1.221E+11,1.221E+11,5.8
ABAD,d,20070813,0,819,819,798,813,10610,28958191,12,814,آباد,13860522,0,813,1.22E+11,150000000,,1.2285E+11,1.2285E+11,1.197E+11,1.2195E+11,1.2195E+11,5.8
ABAD,d,20070815,0,797,803,797,803,75590,203715250,18,813,آباد,13860524,0,803,1.20E+11,150000000,,1.1955E+11,1.2045E+11,1.1955E+11,1.2045E+11,1.2045E+11,5.801
ABAD,d,20070820,0,787,798,787,798,42166,112212819,18,803,آباد,13860529,0,798,1.20E+11,150000000,,1.1805E+11,1.197E+11,1.1805E+11,1.197E+11,1.197E+11,5.801
ABAD,d,20070821,0,799,799,793,797,13345,35889407,8,798,آباد,13860530,0,797,1.20E+11,150000000,,1.1985E+11,1.1985E+11,1.1895E+11,1.1955E+11,1.1955E+11,5.801
ABAD,d,20070822,0,790,797,790,797,490,1308550,2,797,آباد,13860531,0,797,1.20E+11,150000000,,1.185E+11,1.1955E+11,1.185E+11,1.1955E+11,1.1955E+11,5.801
ABAD,d,20070825,0,782,784,782,782,454435,1200653270,57,797,آباد,13860603,0,782,1.17E+11,150000000,,1.173E+11,1.176E+11,1.173E+11,1.173E+11,1.173E+11,5.804
ABAD,d,20070827,0,766,774,766,774,57208,148168990,12,782,آباد,13860605,0,774,1.16E+11,150000000,,1.149E+11,1.161E+11,1.149E+11,1.161E+11,1.161E+11,5.805
ABAD,d,20070828,0,759,774,759,774,4010,10286150,2,774,آباد,13860606,0,774,1.16E+11,150000000,,1.1385E+11,1.161E+11,1.1385E+11,1.161E+11,1.161E+11,5.805
ABAD,d,20070901,0,758,772,758,772,15302,39219476,7,774,آباد,13860610,0,772,1.16E+11,150000000,,1.137E+11,1.158E+11,1.137E+11,1.158E+11,1.158E+11,5.805
ABAD,d,20070902,0,756,781,756,771,41704,108712490,12,772,آباد,13860611,0,771,1.16E+11,150000000,,1.134E+11,1.1715E+11,1.134E+11,1.1565E+11,1.1565E+11,5.805
ABAD,d,20070903,0,787,787,772,772,3965,10536765,5,771,آباد,13860612,0,772,1.16E+11,150000000,,1.1805E+11,1.1805E+11,1.158E+11,1.158E+11,1.158E+11,5.805
ABAD,d,20070904,0,772,772,772,772,1000,2609000,1,772,آباد,13860613,0,772,1.16E+11,150000000,,1.158E+11,1.158E+11,1.158E+11,1.158E+11,1.158E+11,5.805
ABAD,d,20070905,0,756,770,756,770,13447,34384439,6,772,آباد,13860614,0,770,1.16E+11,150000000,,1.134E+11,1.155E+11,1.134E+11,1.155E+11,1.155E+11,5.805
ABAD,d,20070909,0,768,785,768,770,6050,15770815,5,770,آباد,13860618,0,770,1.16E+11,150000000,,1.152E+11,1.1775E+11,1.152E+11,1.155E+11,1.155E+11,5.805
ABAD,d,20070910,0,755,769,755,769,10010,25535990,3,770,آباد,13860619,0,769,1.15E+11,150000000,,1.1325E+11,1.1535E+11,1.1325E+11,1.1535E+11,1.1535E+11,5.805
ABAD,d,20070911,0,769,769,754,768,4785,12206995,3,769,آباد,13860620,0,768,1.15E+11,150000000,,1.1535E+11,1.1535E+11,1.131E+11,1.152E+11,1.152E+11,5.805
ABAD,d,20070912,0,753,768,753,768,3610,9191550,3,768,آباد,13860621,0,768,1.15E+11,150000000,,1.1295E+11,1.152E+11,1.1295E+11,1.152E+11,1.152E+11,5.805
ABAD,d,20070916,0,768,768,753,757,83561,212586272,18,768,آباد,13860625,0,757,1.14E+11,150000000,,1.152E+11,1.152E+11,1.1295E+11,1.1355E+11,1.1355E+11,5.806
ABAD,d,20070917,0,757,772,757,758,7050,18295970,4,757,آباد,13860626,0,758,1.14E+11,150000000,,1.1355E+11,1.158E+11,1.1355E+11,1.137E+11,1.137E+11,5.806
ABAD,d,20070918,0,773,773,758,772,154893,404517140,24,758,آباد,13860627,0,772,1.16E+11,150000000,,1.1595E+11,1.1595E+11,1.137E+11,1.158E+11,1.158E+11,5.807
ABAD,d,20070919,0,787,787,787,787,263034,700053104,30,772,آباد,13860628,0,787,1.18E+11,150000000,,1.1805E+11,1.1805E+11,1.1805E+11,1.1805E+11,1.1805E+11,5.809
ABAD,d,20070922,0,801,803,801,803,241843,656339392,31,787,آباد,13860631,0,803,1.20E+11,150000000,,1.2015E+11,1.2045E+11,1.2015E+11,1.2045E+11,1.2045E+11,5.81
ABAD,d,20070923,0,803,803,803,803,60360,163756680,7,803,آباد,13860701,0,803,1.20E+11,150000000,,1.2045E+11,1.2045E+11,1.2045E+11,1.2045E+11,1.2045E+11,5.811
ABAD,d,20070926,0,800,802,800,802,10020,27111957,4,803,آباد,13860704,0,802,1.20E+11,150000000,,1.2E+11,1.203E+11,1.2E+11,1.203E+11,1.203E+11,5.811
ABAD,d,20070929,0,789,801,786,801,10762,28610013,9,802,آباد,13860707,0,801,1.20E+11,150000000,,1.1835E+11,1.2015E+11,1.179E+11,1.2015E+11,1.2015E+11,5.811
ABAD,d,20071001,0,785,785,785,785,132300,350991900,21,801,آباد,13860709,0,785,1.18E+11,150000000,,1.1775E+11,1.1775E+11,1.1775E+11,1.1775E+11,1.1775E+11,5.812
ABAD,d,20071002,0,769,771,769,769,225632,586645888,46,785,آباد,13860710,0,769,1.15E+11,150000000,,1.1535E+11,1.1565E+11,1.1535E+11,1.1535E+11,1.1535E+11,5.813
ABAD,d,20071006,0,775,775,769,769,382,996907,3,769,آباد,13860714,0,769,1.15E+11,150000000,,1.1625E+11,1.1625E+11,1.1535E+11,1.1535E+11,1.1535E+11,5.813
ABAD,d,20071007,0,769,769,769,769,291,756600,1,769,آباد,13860715,0,769,1.15E+11,150000000,,1.1535E+11,1.1535E+11,1.1535E+11,1.1535E+11,1.1535E+11,5.813
ABAD,d,20071008,0,762,769,762,769,210,541000,2,769,آباد,13860716,0,769,1.15E+11,150000000,,1.143E+11,1.1535E+11,1.143E+11,1.1535E+11,1.1535E+11,5.813
ABAD,d,20071014,0,766,785,766,771,30822,80748118,15,769,آباد,13860722,0,771,1.16E+11,150000000,,1.149E+11,1.1775E+11,1.149E+11,1.1565E+11,1.1565E+11,5.814
ABAD,d,20071016,0,785,785,771,771,5010,13291070,2,771,آباد,13860724,0,771,1.16E+11,150000000,,1.1775E+11,1.1775E+11,1.1565E+11,1.1565E+11,1.1565E+11,5.814
ABAD,d,20071020,0,756,756,756,756,120000,306600000,25,771,آباد,13860728,0,756,1.13E+11,150000000,,1.134E+11,1.134E+11,1.134E+11,1.134E+11,1.134E+11,5.814
ABAD,d,20071021,0,741,741,741,741,442563,1108177752,92,756,آباد,13860729,0,741,1.11E+11,150000000,,1.1115E+11,1.1115E+11,1.1115E+11,1.1115E+11,1.1115E+11,5.817
ABAD,d,20071022,0,755,756,755,755,199594,509753482,21,741,آباد,13860730,0,755,1.13E+11,150000000,,1.1325E+11,1.134E+11,1.1325E+11,1.1325E+11,1.1325E+11,5.819
ABAD,d,20071024,0,743,753,740,753,15010,37600230,6,755,آباد,13860802,0,753,1.13E+11,150000000,,1.1145E+11,1.1295E+11,1.11E+11,1.1295E+11,1.1295E+11,5.819
ABAD,d,20071028,0,739,753,739,753,1236,3086782,3,753,آباد,13860806,0,753,1.13E+11,150000000,,1.1085E+11,1.1295E+11,1.1085E+11,1.1295E+11,1.1295E+11,5.819
ABAD,d,20071029,0,738,753,738,753,805,2009780,2,753,آباد,13860807,0,753,1.13E+11,150000000,,1.107E+11,1.1295E+11,1.107E+11,1.1295E+11,1.1295E+11,5.819
